School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Arizona,Embry-Riddle Aero U,ES 205,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
CHINA,East China Univ. of Sci & Tech,ENGR 08,ENGINEERING THERMODYNAMICS,MANE 2710,THERMODYNAMICS,1.0
Connecticut,Housatonic Community College,EGR E214,ENGINEERING THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
Connecticut,Univ Of New Haven,MECH 2205,APPLIED THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
District of Columbia,Catholic Univ Amerca,ENGR 211,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
Florida,Embry-Riddle Aero Un,ES 305,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
Illinois,Illinois Inst of Technology,MMAE 320,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
Louisiana,Xavier Univ La,ENGR 3040,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
Maine,Univ Southern Maine,MEE 230,THERMODYNAMICS I: LAWS & PROPT,MANE 2710,THERMODYNAMICS,3.0
Maryland,U S Naval Academy,EM 317,THERMO-FLUID SCIENCES II,MANE 2710,THERMODYNAMICS,3.0
Massachusetts,Springfield Tech C C,EGR 229,ENGINEERING THERMODYNAMICS 1,MANE 2710,THERMODYNAMICS,3.0
Massachusetts,Univ Mass Lowell,MECH 2420,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
Massachusetts,Worcester Polytechnic,ES 3001,INTRODUCTION TO THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
Michigan,Michigan State Univ,ME 201,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
Michigan,Univ Mich Dearborn,ME 230,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
New York,Finger Lakes Cc,ESC 235,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
New York,Hudson Vly Cmty Coll,ENGR 222,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
New York,Kingsborough C C,EGR 2300,INTRO ENGR THERMODYN,MANE 2710,THERMODYNAMICS,3.0
New York,Manhattan College,ENGS 205,INTRO THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
New York,Manhattan College,MECH 302,APPLIED THERMODYNAMICS,MANE 2710,THERMODYNAMICS,2.0
New York,Mohawk Valley C C,ES 281,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
New York,Monroe Cmty College,ENR 258,TERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
New York,New York City Tech C,MECH 2430,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
New York,Rochester Inst of Technology,MECE 110,THERMODYNAMICS I,MANE 2710,THERMODYNAMICS,3.0
New York,SUNY Canton,MECH 342,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
New York,SUNY Coll Cortland,PHY 530,FUNDAMENTALS OF THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
New York,SUNY Coll Fredonia,PHYS 330,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,
New York,SUNY Coll New Paltz,EGM 331,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
New York,SUNY Inst. of Tech Utica/Rome,ME 330,ENGINEERING THERMODYNAMICS I,MANE 2710,THERMODYNAMICS,3.0
New York,Suny Coll Tech Cnton,MECH 342,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
New York,Union College NY,MER 231,THERMODYNAMICS I,MANE 2710,THERMODYNAMICS,3.0
New York,Westchester Cmty Col,MECH 204,THERMODYNAMICS FOR ENGINEERS,MANE 2710,THERMODYNAMICS,3.0
UNITED KINGDOM,University of Bath,ME 10003,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
West Virginia,West Virginia Univ,MAE 320,THERMODYNAMICS,MANE 2710,THERMODYNAMICS,3.0
